裝備名稱,裝備部位,基礎ATK/DEF,基礎穩定度,屬性分類,屬性名稱,屬性值1,屬性值2,說明,(英文)裝備名稱
,,,,recipe,cost,100,,,
,,,,,materials,南瓜鑽石#10,,,
蛋糕刀,單手劍,179,75,stats,magic_resistance,-15,,,Cake Knife
,,,,,critical_rate,15,,,
,,,,,critical_rate,30%,,,
,,,,,element_light,1,,,
,,,,,stronger_against_neutral,25,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,80,,,
,,,,,materials,"神秘果實#3,魔法砂糖#1,魔素#80",,,
鋼紋寶劍,單手劍,199,80,stats,natural_hp_regen,5%,,,Calibur
,,,,,critical_damage,10,,,
,,,,,element_earth,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,恩澤神衛,,,
,,,,,map,眾神之殿．第3區,,,
,,,,obtain,type,mobs,,,
,,,,,name,恩澤神衛,,,
,,,,,map,眾神之殿．第2區,,,
鋼紋寶劍,單手劍,199,80,stats,natural_hp_regen,20%,,,Calibur
,,,,,critical_damage,10,,,
,,,,,element_earth,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,135,,,
,,,,,item_difficulty,140,,,
,,,,,potential,37,,,
,,,,,cost,700,,,
,,,,,materials,"神聖金屬#5,亮澤黑皮#20,金屬#200,木材#150",,,
烤雞劍,單手劍,38,80,stats,max_hp,250,,,Chicken Sword
,,,,,attack_mp_recovery,1,,,
,,,,,stronger_against_neutral,10,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,10,,,
,,,,,materials,"香檳#1,烤雞#1",,,
明晰薔薇,單手劍,190,70,stats,max_mp,400,,,Clarity Rose
,,,,,matk,3%,,,
,,,,,physical_pierce,50,,,
,,,,,attack_mp_recovery,10,,,
,,,,,weapon_range,1,,,
,,,,obtain,type,boss,,,
,,,,,name,歐勒拉夫,,,
,,,,,map,阿爾堤玫亞宮殿．大廊,,,
明晰薔薇,單手劍,190,70,stats,max_mp,250,,,Clarity Rose
,,,,,matk,12%,,,
,,,,,physical_pierce,25,,,
,,,,,attack_mp_recovery,5,,,
,,,,,weapon_range,1,,,
,,,,obtain,type,boss,,,
,,,,,name,費莉妍（馬奇史東之路3）,,,
,,,,,map,活動,,,
明晰薔薇,單手劍,190,70,stats,max_mp,500,,,Clarity Rose
,,,,,matk,2%,,,
,,,,,physical_pierce,25,,,
,,,,,attack_mp_recovery,15,,,
,,,,,weapon_range,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,130,,,
,,,,,item_difficulty,135,,,
,,,,,potential,37,,,
,,,,,cost,1350,,,
,,,,,materials,"以太金屬#1,黑騎士長的勳章#1,馬其納之血#10,金屬#1350",,,
路錐之劍,單手劍,30,80,stats,max_hp,1000,,,Cone Sword
,,,,,accuracy,30,,,
,,,,,reduce_player_epicenter,4,,,
,,,,,reduce_dmg_foe_epicenter,4,,,
,,,,,reduce_dmg_charge,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,10,,,
,,,,,potential,17,,,
,,,,,cost,10,,,
,,,,,materials,塑膠碎片#5,,,
路錐之劍 II,單手劍,100,80,stats,max_hp,2000,,,Cone Sword II
,,,,,accuracy,60,,,
,,,,,reduce_player_epicenter,8,,,
,,,,,reduce_dmg_foe_epicenter,8,,,
,,,,,reduce_dmg_charge,8,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,70,,,
,,,,,potential,26,,,
,,,,,cost,100,,,
,,,,,materials,"塑膠碎片#5,聖光書頁#1",,,
路錐之劍 III,單手劍,200,80,stats,max_hp,3000,,,Cone Sword III
,,,,,accuracy,90,,,
,,,,,reduce_player_epicenter,12,,,
,,,,,reduce_dmg_foe_epicenter,12,,,
,,,,,reduce_dmg_charge,12,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,130,,,
,,,,,potential,35,,,
,,,,,cost,1000,,,
,,,,,materials,"塑膠碎片#5,黑暗書頁#1",,,
星月斧,單手劍,225,60,stats,max_hp,12%,,,Crescent Axe
,,,,,atk,5%,,,
,,,,,magic_resistance,3,,,
,,,,,critical_damage,4,,,
,,,,,element_water,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,300,,,
,,,,,materials,傑克寶珠#10,,,
暗將佩劍,單手劍,130,80,stats,vit,3%,,,Dark General's Sword
,,,,,atk,4%,,,
,,,,,guard_regenerate,6,,,
,,,,,aggro,20,,,
,,,,,element_dark,1,,,
,,,,,magical_barrier,1000,,,
,,,,obtain,type,boss,,,
,,,,,name,凝態戰將,,,
,,,,,map,普原生素體．最深處,,,
暗將佩劍,單手劍,130,80,stats,vit,2%,,,Dark General's Sword
,,,,,atk,4%,,,
,,,,,guard_regenerate,6,,,
,,,,,aggro,30,,,
,,,,,element_dark,1,,,
,,,,,magical_barrier,500,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,95,,,
,,,,,item_difficulty,100,,,
,,,,,potential,31,,,
,,,,,cost,1000,,,
,,,,,materials,"碎裂的魔法大劍#2,高純度魔結晶#1,金屬#750,獸品#250",,,
春櫻利刃,單手劍,160,80,stats,str,4%,,,Dia Sword
,,,,,atk,4%,,,
,,,,,physical_pierce,5,,,
,,,,,dark_resistance,10,,,
,,,,,element_light,1,,,
,,,,,attack_mp_recovery,5,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,1000,,,
,,,,,materials,"櫻花水晶#25,潮濕的櫻樹枝#1,蝕櫻黑羽#1,金屬#90",,,
艾路芬戰刃,單手劍,179,80,stats,atk,4%,,,Elfin Sword
,,,,,dodge,5%,,,
,,,,,element_water,1,,,
,,,,,motion_speed,1,,,
,,,,,neutral_resistance,4,,,
,,,,obtain,type,mobs,,,
,,,,,name,冰凍魔像,,,
,,,,,map,諾耶莉爾城．入口（120-140）,,,
,,,,obtain,type,mobs,,,
,,,,,name,冰凍魔像,,,
,,,,,map,諾耶莉爾城．2樓 （120-140）,,,
艾路芬戰刃,單手劍,179,80,stats,atk,4%,,,Elfin Sword
,,,,,dodge,5%,,,
,,,,,element_water,1,,,
,,,,,motion_speed,1,,,
,,,,,neutral_resistance,4,,,
,,,,obtain,type,mobs,,,
,,,,,name,磐石衛兵,,,
,,,,,map,米斯魯那山遺跡．基盤迴廊 ,,,
,,,,obtain,type,mobs,,,
,,,,,name,磐石衛兵,,,
,,,,,map,米斯魯那山遺跡．中空迴廊,,,
艾路芬戰刃,單手劍,179,80,stats,atk,4%,,,Elfin Sword
,,,,,dodge,10%,,,
,,,,,element_water,1,,,
,,,,,motion_speed,1,,,
,,,,,neutral_resistance,5,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,125,,,
,,,,,item_difficulty,130,,,
,,,,,potential,36,,,
,,,,,cost,650,,,
,,,,,materials,"白樹木材#20,龍頸蒼玉#5,金屬#200,木材#125",,,
祭典劍,單手劍,200,1,stats,max_mp,500,,,Festival Sword
,,,,,accuracy,30,,,
,,,,,ailment_resistance,10,,,
,,,,,element_fire,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,21,,,
,,,,,materials,"盛夏貝殼#50,撕下的書頁#30,銳利的熊爪#1,木材#100",,,
漂漂獸之劍,單手劍,220,80,stats,atk,6%,,,Fluck Sword
,,,,,aggro,-25,,,
,,,,,additional_meele,100,,,
,,,,,reduce_dmg_floor,15,,,
,,,,,reduce_dmg_meteor,15,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,145,,,
,,,,,item_difficulty,150,,,
,,,,,potential,39,,,
,,,,,cost,1500,,,
,,,,,materials,"蒼岩碎片#1,鮮豔頭冠#2,獸品#1000,金屬#500",,,
漂漂獸之劍,單手劍,220,80,stats,atk,6%,,,Fluck Sword
,,,,,aggro,-75,,,
,,,,,additional_meele,50,,,
,,,,,reduce_dmg_floor,15,,,
,,,,,reduce_dmg_meteor,15,,,
,,,,obtain,type,boss,,,
,,,,,name,漂漂媽,,,
,,,,,map,忘卻洞窟,,,
羅馬短劍,單手劍,25,80,stats,aspd,5%,,,Gladius
,,,,,critical_rate,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,哥布林,,,
,,,,,map,廢棄的寺院．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,哥布林,,,
,,,,,map,廢棄的寺院．第2區,,,
羅馬短劍,單手劍,25,80,stats,aspd,10%,,,Gladius
,,,,,critical_rate,3,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,100,,,
,,,,,materials,"鋸齒#25,破損的刀#25,金屬#50",,,
,,,,,item_level,15,,,
,,,,,item_difficulty,20,,,
,,,,,potential,18,,,
勇者之劍（波姆）,單手劍,240,70,stats,max_hp,2000,,,Hero Sword (Pom)
,,,,,atk,10%,,,
,,,,,aspd,-9999,,,
,,,,,atk_down_vit,100,,,
,,,,,atk_up_str,100,,,
,,,,obtain,type,boss,,,
,,,,,name,勇者波多姆（一千萬下載紀念活動）,,,
,,,,,map,索菲亞政廳,,,
冰劍格拉斯,單手劍,101,80,stats,element_water,1,,,Icebrand Glacier
,,,,,attack_mp_recovery,5,,,
,,,,,short_range_damage,1,,,
,,,,,additional_magic,100,,,
,,,,,atk_up_int,150,,,
,,,,,atk_down_str,200,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,80,,,
,,,,,item_difficulty,85,,,
,,,,,potential,28,,,
,,,,,cost,850,,,
,,,,,materials,"冰凍玫瑰#1,薄暮巨龍的藍翼#5,魔晶獸豪爪#3,魔素#425",,,
伊爾文巨劍,單手劍,100,70,stats,vit,2%,,,Ilwoon
,,,,,max_hp,750,,,
,,,,,atk,3%,,,
,,,,,def,10,,,
,,,,,fractional_barrier,2,,,
,,,,obtain,type,mobs,,,
,,,,,name,鏽蝕鬥士,,,
,,,,,map,昇華觀園．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,鏽蝕鬥士,,,
,,,,,map,昇華觀園．第3區,,,
,,,,obtain,type,mobs,,,
,,,,,name,菱紋企鵝,,,
,,,,,map,納維達市街．十字路口（80-100）,,,
,,,,obtain,type,mobs,,,
,,,,,name,菱紋企鵝,,,
,,,,,map,納維達市街．西（80-100）,,,
,,,,obtain,type,mobs,,,
,,,,,name,菱紋企鵝,,,
,,,,,map,納維達市街．東（80-100）,,,
伊爾文巨劍,單手劍,100,70,stats,vit,3%,,,Ilwoon
,,,,,max_hp,1000,,,
,,,,,atk,3%,,,
,,,,,def,20,,,
,,,,,fractional_barrier,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,75,,,
,,,,,item_difficulty,80,,,
,,,,,potential,28,,,
,,,,,cost,400,,,
,,,,,materials,"秘銀礦石#5,生鏽的大斧#30,金屬#150,木材#50",,,
皇族之劍,單手劍,140,80,stats,dex,4%,,,Imperial Sword
,,,,,atk,4%,,,
,,,,,accuracy,6%,,,
,,,,,stronger_against_neutral,25,,,
,,,,,fractional_barrier,12,,,
,,,,obtain,type,mobs,,,
,,,,,name,激進派專業兵,,,
,,,,,map,布萊耶研究所．2號樓,,,
皇族之劍,單手劍,140,80,stats,dex,4%,,,Imperial Sword
,,,,,atk,4%,,,
,,,,,accuracy,8%,,,
,,,,,stronger_against_neutral,25,,,
,,,,,fractional_barrier,16,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,550,,,
,,,,,materials,"翠珍珠#5,堅硬鉤爪#30,金屬#200,木材#75",,,
,,,,,item_level,105,,,
,,,,,item_difficulty,110,,,
,,,,,potential,32,,,
靛晶劍,單手劍,109,80,stats,str,3%,,,Indigo Sword
,,,,,atk,3%,,,
,,,,,critical_rate,9,,,
,,,,,critical_damage,3,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,85,,,
,,,,,item_difficulty,90,,,
,,,,,potential,29,,,
,,,,,cost,450,,,
,,,,,materials,"發熱劍鰭#20,異形刀刃#5,金屬#125,獸品#100",,,
靛晶劍,單手劍,109,80,stats,str,3%,,,Indigo Sword
,,,,,atk,3%,,,
,,,,,critical_rate,3,,,
,,,,,critical_damage,3,,,
,,,,obtain,type,mobs,,,
,,,,,name,鏽蝕禁軍騎士,,,
,,,,,map,暗之城．第2區,,,
,,,,obtain,type,mobs,,,
,,,,,name,鏽蝕禁軍騎士,,,
,,,,,map,暗之城．第3區,,,
,,,,obtain,type,mobs,,,
,,,,,name,冰城魔鐘,,,
,,,,,map,諾耶莉爾城．入口（80-100）,,,
,,,,obtain,type,mobs,,,
,,,,,name,冰城魔鐘,,,
,,,,,map,諾耶莉爾城．2樓（80-100）,,,
流雲木星劍,單手劍,44,80,stats,element_wind,1,,,Jupiter Sword
,,,,,motion_speed,2,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,10,,,
,,,,,materials,"藍色包裝緞帶#20,水滴碎片#10,金屬#30",,,
流雲木星劍 II,單手劍,310,80,stats,element_wind,1,,,Jupiter Sword II
,,,,,motion_speed,3,,,
,,,,obtain,type,boss,,,
,,,,,name,手工餅乾（咖啡）,,,
,,,,,map,艾爾．斯卡羅,,,
雄獅牙,單手劍,154,70,stats,max_hp,800,,,Leve Fang
,,,,,atk,4%,,,
,,,,,physical_pierce,4,,,
,,,,,def,-15%,,,
,,,,,dodge,15%,,,
,,,,,short_range_damage,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,105,,,
,,,,,item_difficulty,110,,,
,,,,,potential,32,,,
,,,,,cost,1100,,,
,,,,,materials,"機甲獅將的槌子碎片#2,結晶化的大爪#4,獸品#900,金屬#200",,,
雄獅牙,單手劍,154,,stats,max_hp,1600,,,Leve Fang
,,,,,atk,4%,,,
,,,,,physical_pierce,8,,,
,,,,,def,-30%,,,
,,,,,dodge,30%,,,
,,,,,short_range_damage,4,,,
,,,,obtain,type,boss,,,
,,,,,name,機甲獅將,,,
,,,,,map,辛戈拉勒遺跡．3樓,,,
皇女之劍,單手劍,229,75,stats,max_mp,150,,,Lil Empress Sword
,,,,,atk,6%,,,
,,,,,critical_rate,25,,,
,,,,,aggro,-15,,,
,,,,,element_fire,1,,,
,,,,obtain,type,boss,,,
,,,,,name,薇芮娜．寇珥連生體,,,
,,,,,map,阿爾堤玫亞宮殿．皇座之殿,,,
皇女之劍,單手劍,229,75,stats,max_mp,450,,,Lil Empress Sword
,,,,,atk,6%,,,
,,,,,critical_rate,20,,,
,,,,,aggro,-10,,,
,,,,,element_fire,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,140,,,
,,,,,item_difficulty,145,,,
,,,,,potential,38,,,
,,,,,cost,1450,,,
,,,,,materials,"怪物皇帝的飾片#2,怪物皇帝之角#1,金屬#1000,魔素#450",,,
長劍,單手劍,17,80,stats,max_hp,50,,,Longsword
,,,,,accuracy,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,50,,,
,,,,,materials,"小劍柄#20,金屬#25",,,
,,,,,item_level,5,,,
,,,,,item_difficulty,10,,,
,,,,,potential,16,,,
曼特恩戰刃,單手劍,200,80,stats,agi,5%,,,Maton Saber
,,,,,atk,5%,,,
,,,,,dodge,15%,,,
,,,,,aspd,500,,,
,,,,,absolute_dodge,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,140,,,
,,,,,item_difficulty,145,,,
,,,,,potential,38,,,
,,,,,cost,1450,,,
,,,,,materials,"舊式刀刃素材#2,斯魯比尼亞魔法燈#1,金屬#1200,藥品#250",,,
曼特恩戰刃,單手劍,200,80,stats,agi,10%,,,Maton Saber
,,,,,atk,5%,,,
,,,,,dodge,5%,,,
,,,,,aspd,1000,,,
,,,,,absolute_dodge,3,,,
,,,,obtain,type,boss,,,
,,,,,name,劍型曼特恩,,,
,,,,,map,通地塔．入口,,,
草質劍,單手劍,74,90,stats,matk,70,,,Phyto Blade
,,,,,magic_resistance,5,,,
,,,,,critical_damage,10%,,,
,,,,,element_earth,1,,,
,,,,obtain,type,boss,,,
,,,,,name,草龍耶弗,,,
,,,,,map,維雪蝕刻地深處．先境之民村落,,,
明晰薔薇．原型,單手劍,285,60,stats,max_mp,40,,,Proto Clarity Rose
,,,,,physical_pierce,70,,,
,,,,,accuracy,-45%,,,
,,,,,aspd,-10%,,,
,,,,,critical_rate,140%,,,
,,,,,attack_mp_recovery,1,,,
,,,,,weapon_range,1,,,
,,,,obtain,type,boss,,,
,,,,,name,費莉妍,,,
,,,,,map,第3次馬奇史東之路．第四戰,,,
草質劍,單手劍,74,90,stats,matk,40,,,Phyto Blade
,,,,,magic_resistance,10,,,
,,,,,critical_damage,9%,,,
,,,,,element_earth,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,65,,,
,,,,,item_difficulty,70,,,
,,,,,potential,26,,,
,,,,,cost,700,,,
,,,,,materials,"草龍之鱗#3,閃耀草龍花瓣#1,金屬#500,木材#200",,,
刺劍,單手劍,56,80,stats,atk,2%,,,Rapier
,,,,,physical_pierce,4,,,
,,,,,aspd,10%,,,
,,,,,evasion_regenerate,3,,,
,,,,obtain,type,mobs,,,
,,,,,name,徘徊的人影,,,
,,,,,map,消失的城鎮,,,
,,,,obtain,type,mobs,,,
,,,,,name,徘徊的人影,,,
,,,,,map,消失的城鎮．廣場,,,
刺劍,單手劍,56,80,stats,atk,2%,,,Rapier
,,,,,physical_pierce,6,,,
,,,,,aspd,50,,,
,,,,,evasion_regenerate,5,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"高級沙子#5,龍骨#30,金屬#100,木材#25",,,
,,,,,cost,250,,,
,,,,,item_level,45,,,
,,,,,item_difficulty,50,,,
,,,,,potential,23,,,
遺境刀,單手劍,44,70,stats,accuracy,5,,,Relic Sword
,,,,,guard_regenerate,3,,,
,,,,,element_earth,1,,,
,,,,,short_range_damage,1,,,
,,,,obtain,type,boss,,,
,,,,,name,遺跡魔像,,,
,,,,,map,左茲達遺跡．顛倒大廳,,,
彎刀,單手劍,34,80,stats,atk,1%,,,Sabre
,,,,,accuracy,2%,,,
,,,,,critical_rate,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,石騎士,,,
,,,,,map,焦熱山峰．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,石騎士,,,
,,,,,map,焦熱山峰．第2區,,,
彎刀,單手劍,34,80,stats,atk,1%,,,Sabre
,,,,,accuracy,4,,,
,,,,,critical_rate,2,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,150,,,
,,,,,materials,"折損的刀刃#20,尖牙#30,金屬#75",,,
,,,,,item_level,25,,,
,,,,,item_difficulty,30,,,
